timestep,nC,nsys,dC_normF,dC_rel,coupling_change,correction_rel,cap_cond,cap_smin,cap_smax,cap_rcond,cap_symres,woodbury_err,woodbury_relres,frozen_err,frozen_relres,fresh_err,fresh_relres,backslash_relres,t_woodbury_net,t_woodbury,t_woodbury_diag,t_frozen,t_fresh,cum_woodbury,cum_fresh
11,78,15759,8.66580117962697,1.36166742658322,1.19769962396451,0.495146893558032,108164675.125967,0.00017966548647011,19433.4589753884,3.99818677190162e-09,2.6476292175175e-15,9.50312618518717e-13,7.51341517982185e-13,0.495146893557976,2.73655531794622,0,1.87423950964783e-15,1.87423950964783e-15,0.042444,0.045333,0.001652,0.00193,0.075022,0.776113,1.063765
12,78,15759,8.66838816619473,1.36207392279393,1.19540314878636,0.449604549103172,81316148.5110559,0.000238986507511774,19433.462336966,5.61766307393057e-09,2.64762903175891e-15,1.37918110362047e-12,1.00381803504498e-12,0.449604549103205,3.52637540806045,0,1.84637795612662e-15,1.84637795612662e-15,0.042635,0.044505,0.00187,0.001748,0.091143,0.818748,1.154908
13,78,15759,8.61420436954051,1.35355995975424,1.19448132448552,0.457990921111811,46022334.696769,0.000422261771217836,19433.4725646378,1.19312755171472e-08,2.64762781869155e-15,1.39523820295234e-12,7.65841428847428e-13,0.457990921111972,4.46740640455938,0,1.63880312448901e-15,1.63880312448901e-15,0.041874,0.044551,0.001919,0.001879,0.098058,0.860622,1.252966
14,78,15759,8.70732669261361,1.36819237877564,1.19746830438209,0.532713180697936,28234990.1749353,0.000688276667584095,19433.4849468742,1.62074658067347e-08,2.64762783819036e-15,5.96561652001187e-13,9.76103558835894e-13,0.532713180697884,3.29206786487677,0,1.59957776916979e-15,1.59957776916979e-15,0.04369,0.045308,0.001618,0.002292,0.128785,0.904312,1.381751
15,78,15759,8.56210192402488,1.3453730418417,1.15066592691104,0.599580129872372,110108249.538727,0.000176495206343886,19433.5782225018,5.16292736759784e-09,2.64761639037599e-15,3.07996570233446e-13,8.55435094868255e-13,0.599580129872313,6.34951645957646,0,1.76489376080467e-15,1.76489376080467e-15,0.050994,0.054142,0.001795,0.001729,0.108123,0.955306,1.489874
16,78,15759,8.60701952902495,1.35243099740068,1.14594203557364,0.624412622032024,74753047.9164131,0.00025996893363388,19433.4701527123,5.89524454554002e-09,2.64763954307316e-15,2.9793469665087e-13,8.78778355265996e-13,0.624412622031947,4.23920764024061,0,1.69025700837601e-15,1.69025700837601e-15,0.039937,0.044081,0.001495,0.00169,0.109147,0.995243,1.599021
17,78,15759,8.61748155877175,1.35407490831288,1.18146244072859,0.575941166119653,1699506542.13534,1.14348301972178e-05,19433.5687283784,2.67804694393954e-10,2.64764145394619e-15,8.89441836112756e-12,1.18096523862162e-12,0.575941166119401,4.25031019025174,0,1.74391490616244e-15,1.74391490616244e-15,0.04409,0.046249,0.00191,0.002001,0.06535,1.039333,1.664371
18,78,15759,8.70082306077,1.36717045553364,1.19834957395427,0.5745822125889,47842601574.9154,4.06196060265101e-07,19433.4762725635,1.05330479078451e-11,2.64763019753214e-15,4.92152946321451e-11,9.05258951472476e-13,0.574582212586264,4.79600798303009,0,2.24773445861802e-15,2.24773445861802e-15,0.040426,0.042295,0.001822,0.001661,0.087825,1.079759,1.752196
19,78,15759,8.59767708795476,1.35096300876047,1.18384706227383,0.593032846477512,97280998.0244897,0.000199766428417794,19433.4775282707,5.0268072577648e-09,2.64762887747119e-15,2.02123789139477e-12,1.14907846076577e-12,0.593032846477299,3.52907340466602,0,1.71398275966975e-15,1.71398275966975e-15,0.041146,0.043482,0.002146,0.001728,0.093835,1.120905,1.846031
20,78,15759,8.68441967552251,1.36459297251572,1.19987576318125,0.623788612125299,109062784.672093,0.000178186099399505,19433.4721903684,5.30860624408442e-09,2.64762882261643e-15,1.22582886720555e-12,8.92534398436736e-13,0.623788612125338,6.0539361658502,0,1.9133692877825e-15,1.9133692877825e-15,0.042612,0.044986,0.00213,0.001876,0.105075,1.163517,1.951106
21,78,15759,8.61828698090275,1.35420146522986,1.13387811446825,0.703073186309835,25591305.1452723,0.000759377744433083,19433.4675783157,1.94575313258781e-08,2.64762897717067e-15,3.22504355617628e-13,1.16024497490729e-12,0.703073186309824,5.15377451830508,0,2.16957970660626e-15,2.16957970660626e-15,0.042827,0.044709,0.001882,0.002892,0.102766,1.206344,2.053872
22,78,15759,8.64751613300646,1.35879427592344,1.20028369155553,0.729304759344332,6697611933.49385,2.90155111535046e-06,19433.4633758136,7.5769757593671e-11,2.64762943137639e-15,1.33456633729263e-11,1.17394981174223e-12,0.72930475934411,2.83505354926787,0,2.29340196955995e-15,2.29340196955995e-15,0.038355,0.04009,0.001735,0.001739,0.086796,1.244699,2.140668
23,78,15759,8.67292457313505,1.36278673369697,1.20140183263558,0.745742491219796,1722399519.34668,1.12827832800989e-05,19433.460498535,3.32577851882634e-10,2.64762963226215e-15,5.29211494195813e-12,7.95427511634099e-13,0.745742491220127,2.74430727760235,0,2.50157045909327e-15,2.50157045909327e-15,0.041575,0.043053,0.001478,0.001869,0.099475,1.286274,2.240143
24,78,15759,8.58720788063643,1.34931797002809,1.18909467482547,0.699569213928211,238580496.102225,8.14545162228941e-05,19433.4588902248,2.16168297852527e-09,2.6476297753041e-15,1.69560808927778e-12,7.87058042190087e-13,0.699569213928267,2.64745253245997,0,2.33294113117285e-15,2.33294113117285e-15,0.045028,0.047601,0.002573,0.001712,0.104368,1.331302,2.344511
25,78,15759,8.74455496956996,1.37404210126851,1.21261627233649,0.616446256710425,138355599.045714,0.000140460221660403,19433.4581099187,4.24873378142671e-09,2.64762944988094e-15,8.72532520812002e-13,8.2918880956495e-13,0.616446256710328,5.24963989022726,0,1.9741785829999e-15,1.9741785829999e-15,0.041721,0.044332,0.001886,0.001669,0.067594,1.373023,2.412105
26,78,15759,8.58095065532978,1.34833476493208,1.14625712684117,0.559223034711154,30337085.75573,0.00064058422502629,19433.4585683904,1.56125131087013e-08,2.64762822751077e-15,3.48187425170616e-13,8.24666024594416e-13,0.559223034711207,3.16763025316197,0,1.78326945214622e-15,1.78326945214622e-15,0.040721,0.042393,0.001672,0.003724,0.065817,1.413744,2.477922
