timestep,nC,nsys,dC_normF,dC_rel,coupling_change,correction_rel,cap_cond,cap_smin,cap_smax,cap_rcond,cap_symres,woodbury_err,woodbury_relres,frozen_err,frozen_relres,fresh_err,fresh_relres,backslash_relres,t_woodbury_net,t_woodbury,t_woodbury_diag,t_frozen,t_fresh,cum_woodbury,cum_fresh
21,44,5864,6.85021188869589,1.40278773893136,1.22226113084973,1.03394350520883,370.201557442917,0.0496568744677173,18.3830522656963,0.000788562523644801,8.11777088000987e-16,8.52883915497012e-15,1.97069079563554e-14,1.03394350520883,1.42446170638696,0,9.74551988061914e-16,9.74551988061914e-16,0.006339,0.006718,0.000379,0.000389,0.030702,0.210768,0.536916
22,44,5864,6.80156585284828,1.39282599413523,1.19647539097343,1.0469842287965,308.849849413481,0.0595209996700184,18.383051785025,0.000888254202267536,8.1152074989739e-16,6.33732499284048e-15,1.49529294527352e-14,1.0469842287965,1.39551777255461,0,1.03995695935771e-15,1.03995695935771e-15,0.007107,0.007527,0.00042,0.000365,0.023925,0.217875,0.560841
23,44,5864,6.7580129127654,1.38390721449229,1.19532712444708,1.05307472001249,329.372227809706,0.0558123906312297,18.3830514415937,0.000908341509206903,8.1188000706098e-16,6.82106953653756e-15,3.25691974811859e-14,1.05307472001249,1.36915626022178,0,1.20755026836119e-15,1.20755026836119e-15,0.006488,0.006867,0.000379,0.000379,0.017735,0.224363,0.578576
24,44,5864,6.76973642814421,1.38630795827917,1.19568383083709,1.05935190704476,402.952709419263,0.0456208651033366,18.3830511994402,0.000825439498354503,8.12225913157144e-16,9.52008688260253e-15,1.06458352090406e-14,1.05935190704477,1.35186678721232,0,1.08357450498775e-15,1.08357450498775e-15,0.009089,0.011543,0.001614,0.000382,0.028104,0.233452,0.60668
25,44,5864,6.87720446652435,1.40831528433217,1.23980724178506,1.06455388897005,346.854797350723,0.052999269926638,18.3830510301403,0.000808138419043221,8.11679785068769e-16,4.6508822508955e-15,1.83354302256857e-14,1.06455388897005,1.34333051717638,0,1.21235182491969e-15,1.21235182491969e-15,0.007741,0.008143,0.000402,0.000383,0.013258,0.241193,0.619938
26,44,5864,6.88687449304652,1.41029551426678,1.24832834991601,1.06989676487404,344.785324401414,0.0533173821851702,18.3830509129481,0.000795376716099339,8.1151342701394e-16,5.60523350276675e-15,1.68846106891733e-14,1.06989676487405,1.33962193074087,0,1.0596780346558e-15,1.0596780346558e-15,0.009023,0.009799,0.000776,0.000381,0.023141,0.250216,0.643079
27,44,5864,6.88084374256552,1.40906053599622,1.24620252970337,1.08422032651585,320.976911248066,0.0572721905777719,18.3830508320638,0.000834512071962544,8.11949789368901e-16,2.0034420352372e-15,1.42605882149952e-14,1.08422032651585,1.35197499460993,0,1.19849536932981e-15,1.19849536932981e-15,0.009506,0.01349,0.003183,0.000446,0.012837,0.259722,0.655916
28,44,5864,6.80203670149543,1.39292241461387,1.22554414312549,1.091151754859,334.266148017212,0.0549952511960134,18.3830507765304,0.00065430812348049,8.11836263632313e-16,5.00695964252768e-15,2.04239050578084e-14,1.091151754859,1.36351566274732,0,1.03030733880892e-15,1.03030733880892e-15,0.007119,0.007673,0.000541,0.000359,0.025548,0.266841,0.681464
29,44,5864,6.76156447115166,1.3846345033177,1.21497698979059,1.09715419089754,348.594107904822,0.052734829195043,18.3830507387591,0.000853816503019319,8.11737932258546e-16,2.64523036674225e-15,1.83941839873979e-14,1.09715419089754,1.3850336848425,0,1.22620927088807e-15,1.22620927088807e-15,0.007208,0.007737,0.000529,0.000421,0.017835,0.274049,0.699299
30,44,5864,6.75817315377495,1.38394002867777,1.21464986206021,1.10209620302523,357.595297138504,0.0514074174357723,18.3830507130681,0.00086764527770499,8.11615231805866e-16,9.53515689165465e-15,1.65883129043924e-14,1.10209620302523,1.41408948601073,0,1.1781825279675e-15,1.1781825279675e-15,0.010775,0.014966,0.004043,0.000407,0.013629,0.284824,0.712928
31,44,5864,6.82249805234865,1.39711249406911,1.24025041915771,1.10682485076634,342.753417044559,0.0536334571195696,18.3830506956453,0.000988713678000926,8.11933222161048e-16,1.15278561178016e-14,1.8418074590407e-14,1.10682485076635,1.44593030740024,0,1.10521399721549e-15,1.10521399721549e-15,0.009145,0.014453,0.003822,0.000375,0.042852,0.293969,0.75578
32,44,5864,6.87328241645759,1.4075121261475,1.26087407731107,1.11044947419391,317.037032731033,0.0579839223372304,18.3830506839022,0.000888087806347214,8.11552288588621e-16,7.77828893259454e-15,1.5189264060723e-14,1.11044947419392,1.45634592803644,0,1.08134492310637e-15,1.08134492310637e-15,0.007061,0.007576,0.000515,0.000396,0.02287,0.30103,0.77865
33,44,5864,6.85784239152172,1.40435031480199,1.2542622407756,1.11332496726913,317.172827491889,0.0579590970051976,18.3830506760152,0.000790681342990533,8.11632310073082e-16,7.57558155193511e-15,2.19239070343252e-14,1.11332496726914,1.44092092688659,0,1.05415795173158e-15,1.05415795173158e-15,0.00787,0.008356,0.000486,0.00037,0.028941,0.3089,0.807591
34,44,5864,6.76894591855426,1.38614607756974,1.21768092507791,1.11426147275337,335.45734490694,0.0547999647341873,18.3830506707244,0.000857982418384692,8.11551340994658e-16,8.53633109095148e-15,2.86451530564588e-14,1.11426147275337,1.40446872241129,0,1.08360850822185e-15,1.08360850822185e-15,0.007468,0.007876,0.000408,0.000372,0.013329,0.316368,0.82092
35,44,5864,6.7478804712783,1.38183229113014,1.20624818655751,1.11469167144666,351.641453256193,0.0522778258847136,18.3830506671749,0.000974628033701298,8.12177060818762e-16,6.47688861200937e-15,1.93694928695582e-14,1.11469167144666,1.37704187463171,0,1.18242889240087e-15,1.18242889240087e-15,0.007383,0.008009,0.000573,0.000392,0.017836,0.323751,0.838756
